"","Year","Province","Number.of.Staff","Population","staff_ratio"
"38",2002,"Gansu",7677,2530.76,3.03347610994326
"39",2001,"Gansu",8836,2523.35,3.50169417639249
"40",2000,"Gansu",8575,2515.31,3.40912253360421
"41",2007,"Guangdong",26237,9660,2.71604554865424
"42",2006,"Guangdong",30807,9442,3.26276212666808
"43",2005,"Guangdong",30650,9194,3.33369588862301
"44",2004,"Guangdong",25787,9110.66,2.8304206281433
"45",2003,"Guangdong",25687,8962.69,2.86599224116867
"46",2002,"Guangdong",25507,8842.08,2.88472848017661
"47",2001,"Guangdong",33480,8733.18,3.83365509470777
"48",2000,"Guangdong",27248,8650.03,3.15004687845013
"49",2007,"Guangxi",11994,4768,2.51552013422819
"50",2006,"Guangxi",11523,4719,2.44183089637635
"51",2005,"Guangxi",11624,4660,2.49442060085837
"52",2004,"Guangxi",11645,4889,2.38187768459808
"53",2003,"Guangxi",11631,4857,2.39468807906115
"54",2002,"Guangxi",11609,4822,2.407507258399
"55",2001,"Guangxi",14902,4788,3.11236424394319
"56",2000,"Guangxi",13807,4751,2.90612502631025
"57",2007,"Guizhou",8490,3632,2.33755506607929
"58",2006,"Guizhou",7719,3690,2.09186991869919
"59",2005,"Guizhou",7616,3730,2.04182305630027
"60",2004,"Guizhou",8333,3904,2.13447745901639
"61",2003,"Guizhou",8381,3870,2.1656330749354
"62",2002,"Guizhou",8384,3837,2.18504039614282
"63",2001,"Guizhou",10559,3798.51,2.77977417461057
"64",2000,"Guizhou",9556,3756,2.54419595314164
"65",2007,"Hainan",2298,845,2.71952662721894
"66",2006,"Hainan",2272,836,2.7177033492823
"67",2005,"Hainan",2262,828,2.73188405797101
"68",2004,"Hainan",2269,818,2.77383863080685
"69",2003,"Hainan",2225,811,2.74352651048089
"70",2002,"Hainan",2183,803,2.71855541718555
"71",2001,"Hainan",2635,795.55,3.31217396769531
"72",2000,"Hainan",2396,789,3.03675538656527
"73",2007,"Hebei",25136,6943,3.62033703010226
"74",2006,"Hebei",24919,6898,3.61249637576109
"75",2005,"Hebei",24677,6851,3.60195591884396
"76",2004,"Hebei",24446,6809,3.59024820091056
"77",2003,"Hebei",24603,6769,3.63465799970454
"78",2002,"Hebei",25029,6735,3.7162583518931
"79",2001,"Hebei",28822,6699.13,4.30234970809642
"80",2000,"Hebei",28527,6674,4.27434821696134
"81",2007,"Heilongjiang",13205,3824,3.45319037656904
"82",2006,"Heilongjiang",13785,3823,3.60580695788648
"83",2005,"Heilongjiang",14054,3820,3.67905759162304
"84",2004,"Heilongjiang",12900,3817,3.37961750065496
"85",2003,"Heilongjiang",12811,3815,3.35806028833552
"86",2002,"Heilongjiang",12183,3813,3.19512195121951
"87",2001,"Heilongjiang",16088,3811,4.22146418262923
"88",2000,"Heilongjiang",14050,3807,3.69057000262674
"89",2007,"Henan",22451,9360,2.39861111111111
"90",2006,"Henan",20138,9392,2.14416524701874
"91",2005,"Henan",20037,9380,2.1361407249467
"92",2004,"Henan",21590,9717,2.22187918081712
"93",2003,"Henan",21473,9667,2.22126823212993
"94",2002,"Henan",21314,9613,2.21720586705503
"95",2001,"Henan",23297,9555,2.43819989534275
"96",2000,"Henan",27882,9488,2.93865935919056
"97",2007,"Hubei",24310,5699,4.26566064221793
"98",2006,"Hubei",24760,5693,4.34920077287897
"99",2005,"Hubei",25007,5710,4.37950963222417
"100",2004,"Hubei",26140,5698,4.58757458757459
"101",2003,"Hubei",26141,5685,4.59824098504837
"102",2002,"Hubei",27136,5672,4.78420310296192
